ID,Διαστάσεις
340,"(512, 512)"
341,"(512, 512)"
342,"(512, 512)"
343,"(512, 512)"
344,"(512, 512)"
345,"(512, 512)"
346,"(512, 512)"
349,"(512, 512)"
351,"(512, 512)"
352,"(512, 512)"
353,"(512, 512)"
354,"(512, 512)"
355,"(512, 512)"
356,"(512, 512)"
357,"(512, 512)"
360,"(512, 512)"
361,"(512, 512)"
362,"(512, 512)"
364,"(512, 512)"
366,"(512, 512)"
367,"(512, 512)"
370,"(512, 512)"
371,"(512, 512)"
372,"(512, 512)"
373,"(512, 512)"
374,"(512, 512)"
375,"(512, 512)"
376,"(512, 512)"
379,"(512, 512)"
382,"(512, 512)"
383,"(512, 512)"
384,"(512, 512)"
385,"(512, 512)"
386,"(512, 512)"
389,"(512, 512)"
390,"(512, 512)"
391,"(512, 512)"
392,"(512, 512)"
393,"(512, 512)"
394,"(512, 512)"
396,"(512, 512)"
398,"(3, 512, 512)"
401,"(3, 512, 512)"
402,"(512, 512)"
403,"(512, 512)"
404,"(512, 512)"
405,"(512, 512)"
406,"(512, 512)"
407,"(512, 512)"
408,"(512, 512)"
409,"(512, 512)"
410,"(3, 512, 512)"
411,"(512, 512)"
412,"(3, 512, 512)"
414,"(512, 512)"
416,"(512, 512)"
417,"(512, 512)"
418,"(512, 512)"
419,"(512, 512)"
420,"(512, 512)"
424,"(512, 512)"
425,"(512, 512)"
426,"(512, 512)"
427,"(512, 512)"
428,"(512, 512)"
429,"(512, 512)"
430,"(512, 512)"
433,"(512, 512)"
434,"(512, 512)"
435,"(512, 512)"
436,"(512, 512)"
437,"(512, 512)"
438,"(512, 512)"
439,"(512, 512)"
440,"(512, 512)"
441,"(512, 512)"
442,"(512, 512)"
443,"(512, 512)"
444,"(512, 512)"
445,"(512, 512)"
446,"(512, 512)"
447,"(512, 512)"
448,"(512, 512)"
449,"(512, 512)"
450,"(512, 512)"
451,"(512, 512)"
452,"(512, 512)"
453,"(512, 512)"
454,"(512, 512)"
455,"(512, 512)"
457,"(512, 512)"
459,"(512, 512)"
460,"(512, 512)"
461,"(512, 512)"
462,"(512, 512)"
463,"(512, 512)"
465,"(512, 512)"
466,"(512, 512)"
468,"(512, 512)"
469,"(512, 512)"
470,"(512, 512)"
471,"(512, 512)"
473,"(512, 512)"
474,"(512, 512)"
475,"(512, 512)"
476,"(512, 512)"
477,"(512, 512)"
478,"(512, 512)"
481,"(512, 512)"
482,"(3, 512, 512)"
483,"(512, 512)"
484,"(3, 512, 512)"
485,"(512, 512)"
486,"(512, 512)"
489,"(512, 512)"
490,"(512, 512)"
491,"(512, 512)"
492,"(512, 604)"
493,"(512, 512)"
495,"(512, 512)"
498,"(512, 512)"
499,"(512, 512)"
500,"(512, 512)"
501,"(512, 512)"
502,"(512, 512)"
504,"(512, 512)"
505,"(512, 512)"
506,"(512, 512)"
507,"(512, 512)"
508,"(512, 512)"
509,"(512, 512)"
510,"(512, 512)"
511,"(512, 512)"
512,"(512, 512)"
514,"(512, 512)"
516,"(512, 512)"
519,"(512, 512)"
520,"(512, 512)"
521,"(512, 512)"
522,"(512, 512)"
523,"(512, 512)"
524,"(512, 512)"
526,"(512, 512)"
527,"(512, 512)"
528,"(512, 512)"
529,"(512, 512)"
532,"(512, 512)"
533,"(512, 512)"
534,"(512, 512)"
536,"(512, 512)"
537,"(512, 512)"
541,"(512, 512)"
542,"(512, 512)"
543,"(512, 512)"
544,"(512, 512)"
546,"(512, 512)"
551,"(512, 512)"
553,"(512, 512)"
556,"(512, 512)"
557,"(512, 512)"
558,"(512, 512)"
559,"(512, 512)"
560,"(512, 512)"
561,"(512, 512)"
562,"(512, 512)"
565,"(512, 512)"
566,"(512, 512)"
567,"(512, 512)"
568,"(512, 512)"
569,"(512, 512)"
570,"(512, 512)"
572,"(512, 512)"
575,"(512, 512)"
576,"(512, 512)"
577,"(512, 512)"
578,"(512, 512)"
579,"(512, 512)"
580,"(512, 512)"
581,"(512, 512)"
582,"(512, 512)"
583,"(512, 512)"
584,"(512, 512)"
585,"(512, 512)"
586,"(512, 512)"
587,"(512, 512)"
588,"(512, 512)"
